iso3;country;lex2019;gdp2016;cm2017;pop2018;cases;deaths
MSR;Montserrat;74.16;NA;NA;NA;9;0
MUS;Mauritius;74.99;18852;1.31;1265303;273;7
MWI;Malawi;64.26;950;5.54;18143315;8;1
MYS;Malaysia;76.16;22687;0.79;31528585;4119;65
NAM;Namibia;63.71;11741;4.42;2448255;16;0
NCL;New_Caledonia;77.55;NA;NA;284060;18;0
NER;Niger;62.42;906;8.45;22442948;342;11
NGA;Nigeria;54.69;5323;10.02;195874740;276;6
NIC;Nicaragua;74.48;4872;1.72;6465513;6;1
NLD;Netherlands;82.28;49254;0.39;17231624;20549;2248
NOR;Norway;82.40;76397;0.26;5311916;6010;80
NPL;Nepal;70.78;2586;3.37;28087871;9;0
NZL;New_Zealand;82.29;34040;0.53;4841000;992;1
OMN;Oman;77.86;36883;1.13;4829483;419;2
PAK;Pakistan;67.27;5250;7.49;212215030;4322;63
PAN;Panama;78.51;21538;1.61;4176873;2528;63
PER;Peru;76.74;11540;1.50;31989256;4342;121
PHL;Philippines;71.23;7223;2.81;106651922;3870;182
PNG;Papua_New_Guinea;64.50;NA;5.34;8606316;2;0
POL;Poland;78.73;26002;0.47;37974750;5205;159
PRI;Puerto_Rico;80.10;35082;NA;3195153;620;24
PRT;Portugal;82.05;27726;0.37;10283822;13141;380
PRY;Paraguay;74.25;8605;2.10;6956071;124;5
PSE;Palestine;74.05;NA;2.09;4569087;263;1
PYF;French_Polynesia;77.66;NA;NA;277679;51;0
QAT;Qatar;80.23;139783;0.76;2781677;2210;6
ROU;Romania;76.05;18913;0.78;19466145;4761;209
RUS;Russia;72.58;23064;0.76;144478050;8672;63
RWA;Rwanda;69.02;1741;3.79;12301939;110;0
SAU;Saudi_Arabia;75.13;47474;0.74;33699947;2932;41
SDN;Sudan;65.31;3750;6.32;41801533;14;2
SEN;Senegal;67.94;2544;4.54;15854360;244;2
SGP;Singapore;83.62;67180;0.28;5638676;1623;6
SLE;Sierra_Leone;54.70;1070;11.05;7650154;7;0
SLV;El_Salvador;73.32;8335;1.45;6420744;103;5
SMR;San_Marino;84.97;NA;0.22;33785;308;34
SOM;Somalia;57.40;NA;12.72;15008154;8;0
SRB;Serbia;76.00;14001;0.57;6982604;2666;65
SSD;South_Sudan;57.85;NA;9.64;10975920;2;0
STP;Sao_Tome_and_Principe;70.39;3640;3.24;211028;4;0
SUR;Suriname;71.68;NA;1.96;575991;10;1
SVK;Slovakia;77.54;26713;0.56;5446771;682;2
SVN;Slovenia;81.32;28761;0.21;2073894;1091;40
SWE;Sweden;82.80;44371;0.28;10175214;8419;687
SWZ;Eswatini;60.19;7641;5.39;1136191;12;0
SXM;Sint_Maarten;78.95;NA;NA;40654;40;8
SYC;Seychelles;73.40;24856;1.42;96762;11;0
SYR;Syria;72.70;3557;NA;16906283;19;2
TCA;Turks_and_Caicos_islands;80.22;NA;NA;37665;8;1
TCD;Chad;54.24;2192;12.32;15477751;10;0
TGO;Togo;61.04;1515;7.29;7889094;70;3
THA;Thailand;77.15;14341;0.95;69428524;2423;32
TLS;Timor_Leste;69.50;NA;4.76;1267972;1;0
TTO;Trinidad_and_Tobago;73.51;29358;2.61;1389858;107;8
TUN;Tunisia;76.70;10621;1.30;11565204;623;23
TUR;Turkey;77.69;18784;1.16;82319724;38226;812
TWN;Taiwan;80.46;42304;NA;NA;379;5
TZA;United_Republic_of_Tanzania;65.46;2518;5.40;56318348;25;1
UGA;Uganda;63.37;1909;4.90;42723139;53;0
UKR;Ukraine;72.06;9694;0.88;44622516;1668;52
URY;Uruguay;77.91;19896;0.82;3449299;456;7
USA;United_States_of_America;78.86;53015;0.66;326687501;432132;14817
UZB;Uzbekistan;71.72;9726;2.25;32955400;555;3
VAT;Holy_See;75.12;NA;NA;NA;8;0
VCT;Saint_Vincent_and_the_Grenadines;72.53;NA;1.62;110210;8;0
VEN;Venezuela;72.06;13159;3.09;28870195;167;8
VGB;British_Virgin_Islands;79.07;NA;NA;29802;3;0
VIR;United_States_Virgin_Islands;80.58;NA;NA;106977;45;1
VNM;Vietnam;75.40;6031;2.09;95540395;251;0
ZAF;South_Africa;64.13;11949;3.71;57779622;1845;18
ZMB;Zambia;63.89;3538;6.00;17351822;39;1
ZWE;Zimbabwe;61.49;1729;5.03;14439018;11;2
