date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04051500;Saint Lucia;;14;;;;1;13;;76;;;
04051500;Liberia;;13;+3;3;+2;3;7;;3;0.6;;
04051500;Fiji;;12;;;;;12;;13;;;
04051500;Grenada;;12;;;;;12;2;107;;45;400
04051500;Curaccedilao;;11;;1;;5;5;;67;6;;
04051500;Greenland;;11;;;;3;8;;194;;542;9547
04051500;Laos;;11;+1;;;;11;;2;;604;83
04051500;Angola;;10;;2;;2;6;;0.3;0.06;;
04051500;Sudan;;10;;2;;2;6;;0.2;0.05;;
04051500;Suriname;;10;;1;;;9;;17;2;;
04051500;Mozambique;;10;;;;1;9;;0.3;;338;11
04051500;Seychelles;;10;;;;;10;;102;;;
04051500;Zimbabwe;;9;;1;;;8;;0.6;0.07;316;21
04051500;Nepal;;9;;;;1;8;;0.3;;1521;52
04051500;Chad;;9;;;;;9;;0.5;;;
04051500;Saint Kitts and Nevis;;9;;;;;9;;169;;113;2124
04051500;Eswatini;;9;;;;;9;;8;;;
04051500;CAR;;8;;;;;8;;2;;;
04051500;Cabo Verde;;7;;1;;;6;;13;2;;
04051500;Vatican City;;7;;;;;7;;8739;;;
04051500;St. Vincent Grenadines;;7;;;;1;6;;63;;;
04051500;Somalia;;7;;;;1;6;;0.4;;;
04051500;Mauritania;;6;;1;;2;3;;1;0.2;67;14
04051500;Montserrat;;6;;;;;6;;1202;;;
04051500;St. Barth;;6;;;;1;5;;607;;;
04051500;Sierra Leone;;6;+2;;;;6;;0.8;;;
04051500;Nicaragua;;5;;1;;;4;;0.8;0.2;;
04051500;Bhutan;;5;;;;2;3;;6;;;
04051500;Turks and Caicos;;5;;;;;5;;129;;;
04051500;Botswana;;4;;1;;;3;;2;0.4;175;74
04051500;Gambia;;4;;1;;2;1;;2;0.4;;
04051500;Belize;;4;;;;;4;;10;;25;63
04051500;Malawi;;4;;;;;4;;0.2;;;
04051500;Western Sahara;;4;;;;;4;;7;;;
04051500;Anguilla;;3;;;;;3;;200;;;
04051500;British Virgin Islands;;3;;;;;3;;99;;;
04051500;Burundi;;3;;;;;3;;0.3;;;
04051500;Caribbean Netherlands;;2;;;;;2;;76;;10;381
04051500;Falkland Islands;;1;;;;;1;;287;;;
04051500;Papua New Guinea;;1;;;;;1;;0.1;;72;8
04051500;Saint Pierre Miquelon;;1;+1;;;;1;;173;;;
04051500;South Sudan;;1;+1;;;;1;;0.09;;;
04051500;Timor-Leste;;1;;;;;1;;0.8;;;
04051500;China;;81669;+30;3329;+3;76964;1376;295;57;2;;
