date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04140600;Dominica;;16;;;;8;8;;222;;345;4793;NorthAmerica
04140600;Fiji;;16;;;;;16;;18;;;;Australia/Oceania
04140600;Namibia;;16;;;;3;13;;6;;362;142;Africa
04140600;Saint Lucia;;15;;;;4;11;;82;;;;NorthAmerica
04140600;Eswatini;;15;;;;7;8;;13;;714;615;Africa
04140600;Curaccedilao;;14;;1;;8;5;;85;6;;;NorthAmerica
04140600;Nepal;;14;;;;1;13;;0.5;;5184;178;Asia
04140600;Grenada;;14;;;;;14;2;124;;92;818;NorthAmerica
04140600;Botswana;;13;;1;;;12;;6;0.4;3115;1325;Africa
04140600;Saint Kitts and Nevis;;12;;;;;12;;226;;216;4060;NorthAmerica
04140600;St. Vincent Grenadines;;12;;;;1;11;;108;;87;784;NorthAmerica
04140600;CAR;;11;;;;3;8;;2;;;;Africa
04140600;Montserrat;;11;;;;1;10;1;2204;;36;7212;NorthAmerica
04140600;Seychelles;;11;;;;;11;;112;;;;Africa
04140600;Cabo Verde;;10;;1;;1;8;;18;2;;;Africa
04140600;Suriname;;10;;1;;6;3;;17;2;;;SouthAmerica
04140600;Turks and Caicos;;10;;1;;;9;;258;26;69;1782;NorthAmerica
04140600;Sierra Leone;;10;;;;;10;;1;;;;Africa
04140600;Gambia;;9;;1;;2;6;;4;0.4;281;116;Africa
04140600;Nicaragua;;9;;1;;4;4;;1;0.2;;;NorthAmerica
04140600;Vatican City;;8;;;;2;6;;9988;;;;Europe
04140600;Mauritania;;7;;1;;2;4;;2;0.2;527;113;Africa
04140600;St. Barth;;6;;;;4;2;;607;;;;NorthAmerica
04140600;Western Sahara;;6;;;;;6;;10;;;;Africa
04140600;Burundi;;5;;1;;;4;;0.4;0.08;;;Africa
04140600;Bhutan;;5;;;;2;3;;6;;1166;1511;Asia
04140600;Falkland Islands;;5;;;;1;4;;1437;;137;39368;SouthAmerica
04140600;Sao Tome and Principe;;4;;;;;4;;18;;19;87;Africa
04140600;South Sudan;;4;;;;;4;;0.4;;;;Africa
04140600;Timor-Leste;;4;;;;1;3;;3;;;;Asia
04140600;Anguilla;;3;;;;1;2;;200;;;;NorthAmerica
04140600;British Virgin Islands;;3;;;;2;1;;99;;;;NorthAmerica
04140600;Caribbean Netherlands;;3;;;;;3;;114;;10;381;NorthAmerica
04140600;Papua New Guinea;;2;;;;;2;;0.2;;72;8;Australia/Oceania
04140600;Saint Pierre Miquelon;;1;;;;;1;;173;;;;NorthAmerica
04140600;Yemen;;1;;;;;1;;0.03;;;;Asia
04140600;China;;82249;+89;3341;;77738;1170;116;57;2;;;Asia
